,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,21,16,29,0.552,160,5.5,11.1,0,2,42.3,4,18,6,2,1,23,18,85,4.7,1,4,26,3,1,1,1.0,48,0,0,1,0.0,1,14,4,175,43.8,11,5,116,23.2,0,37,2,-3,-1.5,0,-1,22,24,66,50,16,1,6,2,0,0,0,0,9,3,5,0,30,11,4,6,4,11,0.36,1,1,1.0,11,1,78,27,9,245,85,4.7,1,160,5.5,11.1,0,116,-3,78,32,-5,2,0,2,5
ATL,3,23,34,0.676,303,8.9,13.2,1,1,93.1,1,0,12,0,0,22,21,89,4.2,1,6,5,11,3,3,1.0,36,0,2,2,1.0,0,2,1,56,56.0,4,2,52,26.0,0,37,0,0,0.0,0,0,23,26,58,53,5,0,0,0,0,1,0,0,3,2,10,0,14,19,6,12,5,10,0.5,0,1,0.0,4,1,55,12,23,392,89,4.2,1,303,8.9,13.2,1,52,0,55,21,-1,0,0,1,0
BAL,9,15,23,0.652,240,10.4,16.0,1,0,114.4,0,0,9,0,0,1,40,308,7.7,5,14,3,12,2,2,1.0,38,0,6,6,1.0,0,24,2,81,40.5,29,2,33,16.5,0,18,2,31,15.5,0,19,1,3,62,48,14,1,9,2,0,0,0,0,8,4,16,0,3,24,14,9,6,13,0.46,2,2,1.0,5,1,50,1,48,548,308,7.7,5,240,10.4,16.0,1,33,31,50,8,1,2,0,0,1
BUF,32,12,20,0.6,73,3.7,7.2,1,1,63.1,2,13,4,1,1,2,35,200,5.7,0,8,6,10,3,4,0.75,41,0,1,1,1.0,0,3,4,212,53.0,2,3,91,30.3,0,40,0,0,0.0,0,0,7,10,66,53,13,3,15,4,0,2,0,0,5,6,15,0,25,13,8,4,3,12,0.25,0,0,0.0,3,1,40,17,16,273,200,5.7,0,73,3.7,7.2,1,91,0,40,8,1,4,0,1,2
CAR,19,15,30,0.5,179,6.0,13.1,1,0,79.7,2,18,8,0,0,13,24,126,5.3,0,6,20,4,1,2,0.5,36,0,1,1,1.0,0,25,7,278,39.7,19,5,96,19.2,0,24,0,0,0.0,0,0,18,20,85,54,31,0,0,1,0,2,2,0,1,5,7,0,22,14,6,8,3,13,0.23,0,1,0.0,9,0,92,23,10,305,126,5.3,0,179,6.0,13.1,1,96,0,92,3,3,1,2,0,0
CHI,15,23,36,0.639,195,5.4,9.1,2,2,73.3,3,14,8,0,0,31,17,59,3.5,0,5,29,2,0,0,0.0,0,0,2,2,1.0,0,26,6,237,39.5,21,5,93,18.6,0,26,2,-2,-1.0,0,1,20,21,54,44,10,3,23,0,0,2,2,0,2,3,3,0,22,14,5,8,5,13,0.38,0,1,0.0,13,1,109,19,14,254,59,3.5,0,195,5.4,9.1,2,93,-2,109,13,0,0,2,2,0
CIN,29,16,28,0.571,91,3.3,6.4,1,0,75.1,1,12,7,0,0,14,24,119,5.0,0,4,20,4,1,1,1.0,22,0,1,1,1.0,0,23,7,287,41.0,25,6,107,17.8,0,24,2,6,3.0,0,6,26,30,62,42,20,2,12,1,0,1,0,0,4,3,6,0,25,13,4,7,6,14,0.43,0,0,0.0,11,2,85,23,10,210,119,5.0,0,91,3.3,6.4,1,107,6,85,13,0,1,0,0,1
CLE,30,6,19,0.316,84,4.4,15.0,0,0,46.8,1,6,3,0,0,6,37,171,4.6,1,8,13,7,2,2,1.0,29,0,1,1,1.0,0,29,8,302,37.8,14,2,43,21.5,0,32,2,61,30.5,0,55,3,6,59,46,13,8,60,0,0,0,0,0,3,1,1,0,29,12,8,3,6,16,0.38,0,0,0.0,6,1,55,21,13,255,171,4.6,1,84,4.4,15.0,0,43,61,55,13,0,0,0,0,0
DAL,10,19,30,0.633,239,8.0,13.1,2,0,110.3,1,10,12,0,0,15,27,108,4.0,0,9,19,5,1,2,0.5,31,0,2,2,1.0,0,1,3,169,56.3,9,4,93,23.3,0,41,0,0,0.0,0,0,18,20,54,40,14,1,4,1,0,0,0,0,5,2,4,0,6,22,9,12,1,8,0.13,1,2,0.5,6,1,68,16,17,347,108,4.0,0,239,8.0,13.1,2,93,0,68,8,1,1,0,0,0
DEN,8,29,41,0.707,262,6.4,9.6,2,1,93.8,3,15,16,0,0,18,30,95,3.2,0,4,20,4,1,2,0.5,28,0,1,1,1.0,0,8,4,185,46.3,16,2,42,21.0,0,21,3,3,1.0,0,5,25,28,50,39,11,0,0,3,0,0,0,0,10,1,1,0,12,20,4,16,6,17,0.35,0,3,0.0,7,0,65,17,16,357,95,3.2,0,262,6.4,9.6,2,42,3,65,6,2,3,0,1,0
