,Team,Home,Opponent,Victory,Wins,Losses,Ties,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost,Opponent Wins,Opponent Losses,Opponent Ties,Opponent Passing Rank,Opponent Completions,Opponent Attempts,Opponent Completion %,Opponent Passing Yards,Opponent Passing Yards / Attempt,Opponent Yards / Reception,Opponent Passing Touchdowns,Opponent Interceptions,Opponent QB Rating,Opponent Sacks,Opponent Passing Yardage Lost to Sacks,Opponent First Downs Passing,Opponent Fumbles,Opponent Fumbles Lost,Opponent Rushing Rank,Opponent Attempts,Opponent Rushing Yards,Opponent Rushing Yards / Attempt,Opponent Rushing Touchdowns,Opponent First Downs Rushing,Opponent Kicking Rank,Opponent Kicking Points,Opponent Field Goals Made,Opponent Field Goals Attempted,Opponent Field Goal %,Opponent Longest Field Goal,Opponent Field Goals Blocked,Opponent Extra Points Made,Opponent Extra Points Attempted,Opponent Extra Point %,Opponent Extra Points Blocked,Opponent Punting Rank,Opponent Punts,Opponent Punt Yards,Opponent Punt Yards Avg,Opponent Returning Rank,Opponent Kickoff Returns,Opponent Kickoff Return Yards,Opponent Kickoff Return Avg,Opponent Kickoff Return Touchdowns,Opponent Kickoff Return Long,Opponent Punt Returns,Opponent Punt Return Yards,Opponent Punt Return Avg,Opponent Punt Return Touchdowns,Opponent Punt Return Long,Opponent Defense Rank,Opponent Points Allowed,Opponent Total Tackles,Opponent Solo Tackles,Opponent Assisted Tackles,Opponent Sacks,Opponent Sack Yards,Opponent Interceptions,Opponent Interception Return Touchdowns,Opponent Forced Fumbles,Opponent Fumbles Opp Recovered,Opponent Fumbles Opp Recovered Touchdowns,Opponent Passes Defended,Opponent Stuffs,Opponent Stuff Yards,Opponent Safeties,Opponent Downs Rank,Opponent First Downs,Opponent First Downs Rushing,Opponent First Downs Passing,Opponent Third Downs Made,Opponent Third Downs Attempted,Opponent Third Down %,Opponent Fourth Downs Made,Opponent Fourth Downs Attempted,Opponent Fourth Down %,Opponent Penalties,Opponent First Downs Penalty,Opponent Penalty Yards,Opponent Yardage Rank,Opponent Points,Opponent Yards,Opponent Rushing Yards,Opponent Rushing Yards / Attempt,Opponent Rushing Touchdowns,Opponent Passing Yards,Opponent Passing Yards / Attempt,Opponent Yards / Reception,Opponent Passing Touchdowns,Opponent Kickoff Return Yards,Opponent Punt Return Yards,Opponent Penalty Yards,Opponent Turnovers Rank,Opponent Turnover +/-,Opponent Interceptions,Opponent Fumbles Opp Recovered,Opponent Interceptions,Opponent Fumbles Lost
TB_15_2005,TB,0,NE,0,9,4,0,18.8333333333,18.5833333333,29.75,0.627833333333,181.416666667,6.1,10.7833333333,0.916666666667,0.833333333333,79.775,2.41666666667,16.5,9.83333333333,0.416666666667,0.333333333333,15.1666666667,28.75,110.583333333,3.70833333333,0.916666666667,5.16666666667,15.3333333333,6.16666666667,1.41666666667,1.75,0.666666666667,32.25,0.0833333333333,1.91666666667,1.91666666667,0.916666666667,0.0,8.0,5.5,251.75,46.0583333333,20.25,3.5,66.25,18.4833333333,0.0,24.5,3.08333333333,29.8333333333,9.225,0.0,14.1666666667,9.83333333333,16.3333333333,54.0833333333,41.75,12.3333333333,2.0,11.8333333333,1.0,0.0,1.0,0.75,0.166666666667,5.66666666667,2.5,5.83333333333,0.0833333333333,17.8333333333,16.6666666667,5.16666666667,9.83333333333,5.08333333333,13.4166666667,0.364166666667,0.25,0.333333333333,0.166666666667,7.66666666667,1.66666666667,59.5,16.8333333333,18.5,292.0,110.583333333,3.70833333333,0.916666666667,181.416666667,6.1,10.7833333333,0.916666666667,66.25,29.8333333333,59.5,11.1666666667,0.333333333333,1.0,0.75,0.833333333333,0.583333333333,8,5,0,8.16666666667,22.9166666667,36.4166666667,0.635083333333,265.583333333,7.5,12.4583333333,1.5,1.08333333333,89.05,1.91666666667,14.9166666667,13.1666666667,0.416666666667,0.333333333333,17.9166666667,24.8333333333,95.8333333333,3.775,0.916666666667,6.16666666667,14.8333333333,6.33333333333,1.33333333333,1.75,0.638916666667,26.6666666667,0.0,2.33333333333,2.33333333333,0.916666666667,0.0,8.25,4.83333333333,223.083333333,45.9666666667,16.5,4.66666666667,100.833333333,21.5166666667,0.0,29.6666666667,2.33333333333,17.75,9.15,0.0,12.25,15.5,22.4166666667,59.0,41.5833333333,17.4166666667,1.5,9.66666666667,0.75,0.166666666667,0.333333333333,0.333333333333,0.0,4.75,2.58333333333,6.25,0.0,11.6666666667,20.6666666667,6.16666666667,13.1666666667,5.5,13.0833333333,0.4,0.5,0.666666666667,0.389166666667,7.08333333333,1.33333333333,62.1666666667,13.1666666667,22.0,361.416666667,95.8333333333,3.775,0.916666666667,265.583333333,7.5,12.4583333333,1.5,100.833333333,17.75,62.1666666667,16.0833333333,-0.75,0.75,0.333333333333,1.08333333333,0.75
KC_15_2005,KC,0,NYG,0,8,5,0,10.25,20.4166666667,32.4166666667,0.634916666667,242.75,7.8,12.825,1.16666666667,0.666666666667,91.2416666667,2.16666666667,14.5,11.75,0.416666666667,0.333333333333,10.4166666667,31.9166666667,137.5,4.33333333333,1.41666666667,8.33333333333,10.75,8.0,1.75,2.08333333333,0.84025,35.8333333333,0.0833333333333,2.75,2.75,0.916666666667,0.0,21.0,4.25,168.583333333,39.5,12.0833333333,4.75,114.166666667,23.7416666667,0.0833333333333,40.0,2.75,16.0833333333,5.2,0.0,11.8333333333,17.6666666667,23.4166666667,49.4166666667,40.8333333333,8.58333333333,1.91666666667,12.25,0.916666666667,0.0833333333333,1.33333333333,0.916666666667,0.0833333333333,5.83333333333,1.83333333333,4.0,0.0,8.33333333333,21.5,8.33333333333,11.75,5.33333333333,13.3333333333,0.408333333333,0.75,1.16666666667,0.375,7.16666666667,1.41666666667,55.0833333333,9.66666666667,25.1666666667,380.25,137.5,4.33333333333,1.41666666667,242.75,7.8,12.825,1.16666666667,114.166666667,16.0833333333,55.0833333333,11.1666666667,0.333333333333,0.916666666667,0.916666666667,0.666666666667,0.833333333333,9,4,0,11.4166666667,19.3333333333,36.4166666667,0.528,234.75,6.46666666667,12.9166666667,1.58333333333,1.08333333333,76.9166666667,1.75,11.5833333333,11.5833333333,0.416666666667,0.0833333333333,12.3333333333,29.75,129.583333333,4.36666666667,0.916666666667,6.5,8.83333333333,9.41666666667,2.33333333333,2.83333333333,0.866666666667,39.3333333333,0.0,2.41666666667,2.41666666667,1.0,0.0,15.1666666667,4.58333333333,194.75,42.5083333333,15.25,3.66666666667,81.1666666667,22.1166666667,0.0,28.5,2.83333333333,22.4166666667,5.725,0.0,12.0,13.3333333333,18.5,57.5,44.9166666667,12.5833333333,2.75,16.4166666667,1.08333333333,0.0,1.33333333333,1.5,0.0833333333333,5.66666666667,2.75,7.0,0.0,10.5833333333,20.4166666667,6.5,11.5833333333,5.75,14.5833333333,0.385833333333,0.5,0.916666666667,0.305833333333,9.25,2.33333333333,71.5833333333,10.3333333333,25.25,364.333333333,129.583333333,4.36666666667,0.916666666667,234.75,6.46666666667,12.9166666667,1.58333333333,81.1666666667,22.4166666667,71.5833333333,10.3333333333,0.916666666667,1.08333333333,1.5,1.08333333333,0.583333333333
DEN_15_2005,DEN,0,BUF,1,10,3,0,15.9166666667,17.3333333333,27.4166666667,0.63825,198.583333333,7.275,11.9083333333,1.25,0.333333333333,96.25,1.41666666667,9.5,9.75,0.0,0.0,7.41666666667,33.75,164.916666667,5.0,1.5,8.83333333333,11.0,7.83333333333,1.66666666667,2.16666666667,0.625,32.0,0.0833333333333,2.83333333333,2.91666666667,0.916666666667,0.0,12.25,4.41666666667,192.75,44.55,13.6666666667,2.83333333333,59.5,22.75,0.0,27.8333333333,2.08333333333,17.25,10.075,0.0,13.6666666667,10.8333333333,16.4166666667,48.3333333333,39.75,8.58333333333,1.66666666667,10.8333333333,1.41666666667,0.25,1.16666666667,1.0,0.0,6.41666666667,1.91666666667,4.91666666667,0.0,11.75,20.25,8.83333333333,9.75,4.75,12.9166666667,0.356666666667,0.75,1.0,0.555833333333,6.0,1.66666666667,45.5,9.75,26.0,363.5,164.916666667,5.0,1.5,198.583333333,7.275,11.9083333333,1.25,59.5,17.25,45.5,7.25,1.5,1.41666666667,1.0,0.333333333333,0.583333333333,4,9,0,21.8333333333,15.25,27.3333333333,0.557416666667,141.166666667,5.14166666667,11.1333333333,1.08333333333,0.916666666667,70.2916666667,3.0,24.5,7.08333333333,0.833333333333,0.416666666667,18.5,26.75,96.1666666667,3.51666666667,0.333333333333,5.91666666667,17.75,5.41666666667,1.33333333333,1.75,0.645833333333,29.8333333333,0.0,1.41666666667,1.41666666667,0.833333333333,0.0,8.16666666667,4.83333333333,223.75,46.1083333333,10.25,4.58333333333,119.416666667,25.9166666667,0.0,41.0,1.83333333333,16.3333333333,6.91666666667,0.0,12.75,16.6666666667,22.9166666667,67.8333333333,47.1666666667,20.6666666667,2.16666666667,15.3333333333,1.0,0.0,0.916666666667,0.833333333333,0.0,5.16666666667,2.66666666667,5.41666666667,0.0833333333333,20.25,15.1666666667,5.91666666667,7.08333333333,4.5,12.5,0.356666666667,0.333333333333,1.0,0.166666666667,7.41666666667,2.16666666667,54.9166666667,21.75,14.0833333333,237.333333333,96.1666666667,3.51666666667,0.333333333333,141.166666667,5.14166666667,11.1333333333,1.08333333333,119.416666667,16.3333333333,54.9166666667,13.4166666667,0.0833333333333,1.0,0.833333333333,0.916666666667,0.833333333333
SD_15_2005,SD,0,IND,1,8,5,0,12.0,21.6666666667,32.4166666667,0.69075,230.166666667,7.41666666667,11.4,1.91666666667,0.833333333333,100.916666667,1.75,14.0,12.8333333333,0.5,0.25,12.5833333333,30.1666666667,132.666666667,4.23333333333,1.58333333333,7.75,12.0,7.5,1.33333333333,1.58333333333,0.736083333333,31.75,0.0833333333333,3.5,3.5,1.0,0.0,10.6666666667,4.33333333333,193.166666667,45.825,12.5833333333,4.33333333333,105.166666667,24.3416666667,0.0,37.75,2.25,12.25,4.81666666667,0.0,8.75,13.6666666667,18.6666666667,55.4166666667,42.75,12.6666666667,2.83333333333,17.4166666667,0.666666666667,0.166666666667,0.916666666667,0.666666666667,0.0,6.25,1.58333333333,5.25,0.0,7.66666666667,22.5,7.75,12.8333333333,5.66666666667,12.5,0.4525,0.416666666667,0.583333333333,0.145833333333,6.33333333333,1.91666666667,52.0833333333,8.25,29.5,362.833333333,132.666666667,4.23333333333,1.58333333333,230.166666667,7.41666666667,11.4,1.91666666667,105.166666667,12.25,52.0833333333,14.1666666667,-0.166666666667,0.666666666667,0.666666666667,0.833333333333,0.666666666667,13,0,0,9.41666666667,20.6666666667,29.9166666667,0.696083333333,248.083333333,8.43333333333,12.3333333333,2.08333333333,0.666666666667,107.05,1.0,4.91666666667,13.75,0.166666666667,0.0833333333333,11.5833333333,32.5833333333,128.25,3.925,1.41666666667,8.5,10.25,8.16666666667,1.5,1.58333333333,0.791666666667,27.9166666667,0.0,3.66666666667,3.66666666667,1.0,0.0,11.75,2.58333333333,117.416666667,41.4083333333,17.75,2.83333333333,58.5,19.575,0.0,24.0833333333,1.5,9.25,4.96666666667,0.0,6.41666666667,9.41666666667,14.4166666667,57.3333333333,43.3333333333,14.0,3.08333333333,21.4166666667,1.0,0.0833333333333,1.83333333333,0.75,0.166666666667,4.0,2.5,5.33333333333,0.0,6.33333333333,24.0,8.5,13.75,6.25,11.5833333333,0.5425,0.5,0.666666666667,0.458333333333,5.66666666667,1.75,41.5,7.41666666667,30.6666666667,376.333333333,128.25,3.925,1.41666666667,248.083333333,8.43333333333,12.3333333333,2.08333333333,58.5,9.25,41.5,10.4166666667,0.583333333333,1.0,0.75,0.666666666667,0.5
PHI_15_2005,PHI,0,STL,1,5,8,0,11.9166666667,21.9166666667,39.0833333333,0.548083333333,247.166666667,6.225,12.25,1.33333333333,1.08333333333,72.9333333333,2.33333333333,12.6666666667,11.75,0.333333333333,0.25,17.6666666667,23.4166666667,93.0833333333,3.65,0.666666666667,5.0,15.25,6.5,1.5,1.91666666667,0.638916666667,27.1666666667,0.0833333333333,2.0,2.08333333333,0.888916666667,0.0,22.1666666667,6.08333333333,235.166666667,37.9833333333,15.5,4.33333333333,92.25,21.7,0.0,26.1666666667,3.0,26.1666666667,7.81666666667,0.0,13.5,16.75,25.0,53.4166666667,44.8333333333,8.58333333333,1.83333333333,10.4166666667,1.08333333333,0.0833333333333,1.41666666667,0.666666666667,0.0833333333333,8.58333333333,3.91666666667,9.83333333333,0.0,14.6666666667,18.5,5.0,11.75,4.75,13.8333333333,0.348333333333,0.166666666667,0.75,0.125,8.16666666667,1.75,67.6666666667,15.5,20.1666666667,340.25,93.0833333333,3.65,0.666666666667,247.166666667,6.225,12.25,1.33333333333,92.25,26.1666666667,67.6666666667,12.75,0.0833333333333,1.08333333333,0.666666666667,1.08333333333,0.583333333333,5,8,0,10.3333333333,24.0,36.25,0.663583333333,258.416666667,7.275,11.85,1.58333333333,1.66666666667,85.7333333333,3.0,20.75,13.0833333333,0.25,0.166666666667,18.0,22.0,93.1666666667,3.96666666667,0.833333333333,5.0,14.9166666667,6.5,1.33333333333,1.5,0.791666666667,35.5,0.0,2.5,2.5,1.0,0.0,16.25,4.41666666667,184.75,41.45,16.5,5.08333333333,111.416666667,21.9333333333,0.0833333333333,33.4166666667,1.41666666667,5.75,2.29166666667,0.0,4.25,22.25,29.1666666667,59.0833333333,48.75,10.3333333333,2.08333333333,9.16666666667,0.666666666667,0.166666666667,0.833333333333,0.75,0.0,4.58333333333,3.16666666667,5.75,0.0833333333333,13.0833333333,19.3333333333,5.0,13.0833333333,4.58333333333,12.3333333333,0.365833333333,0.833333333333,1.16666666667,0.520833333333,8.16666666667,1.25,59.5,11.1666666667,23.5,351.583333333,93.1666666667,3.96666666667,0.833333333333,258.416666667,7.275,11.85,1.58333333333,111.416666667,5.75,59.5,18.6666666667,-1.33333333333,0.666666666667,0.75,1.66666666667,1.08333333333
SF_15_2005,SF,0,JAX,0,2,11,0,23.5833333333,12.9166666667,25.1666666667,0.486583333333,113.5,4.19166666667,11.2666666667,0.416666666667,1.58333333333,44.025,3.0,18.5833333333,5.83333333333,0.916666666667,0.333333333333,18.75,25.5,95.5,3.73333333333,0.416666666667,3.91666666667,17.1666666667,6.0,1.66666666667,1.91666666667,0.798583333333,32.4166666667,0.0,1.0,1.0,0.5,0.0,15.9166666667,6.58333333333,278.75,42.4,22.5,5.33333333333,99.0833333333,18.6333333333,0.0,24.8333333333,1.83333333333,8.5,4.14166666667,0.0,6.0,21.5,29.6666666667,58.75,45.6666666667,13.0833333333,1.5,10.3333333333,0.916666666667,0.166666666667,1.0,0.833333333333,0.0833333333333,5.75,3.5,9.41666666667,0.0,25.5833333333,11.1666666667,3.91666666667,5.83333333333,3.16666666667,13.0833333333,0.248333333333,0.416666666667,0.583333333333,0.25,6.83333333333,1.41666666667,51.9166666667,21.1666666667,13.1666666667,209.0,95.5,3.73333333333,0.416666666667,113.5,4.19166666667,11.2666666667,0.416666666667,99.0833333333,8.5,51.9166666667,18.4166666667,-0.833333333333,0.916666666667,0.833333333333,1.58333333333,1.0,9,4,0,17.5833333333,17.25,29.4166666667,0.584416666667,188.0,6.41666666667,11.5583333333,1.33333333333,0.5,86.025,1.75,8.0,9.66666666667,0.583333333333,0.25,13.4166666667,30.6666666667,117.666666667,3.76666666667,0.833333333333,5.83333333333,16.0833333333,5.91666666667,1.25,1.58333333333,0.666666666667,25.75,0.0,2.16666666667,2.16666666667,0.916666666667,0.0,16.9166666667,5.5,234.416666667,41.4416666667,11.0833333333,3.25,81.6666666667,25.7083333333,0.0833333333333,37.5,3.33333333333,26.25,7.85,0.0,12.5,12.6666666667,17.75,56.9166666667,45.0,11.9166666667,3.08333333333,16.6666666667,1.16666666667,0.166666666667,0.916666666667,0.416666666667,0.0,5.08333333333,2.16666666667,5.16666666667,0.0,16.9166666667,17.25,5.83333333333,9.66666666667,5.91666666667,14.1666666667,0.403333333333,0.25,0.666666666667,0.194166666667,7.66666666667,1.75,65.9166666667,13.6666666667,20.5833333333,305.666666667,117.666666667,3.76666666667,0.833333333333,188.0,6.41666666667,11.5583333333,1.33333333333,81.6666666667,26.25,65.9166666667,11.6666666667,0.25,1.16666666667,0.416666666667,0.5,0.833333333333
SEA_15_2005,SEA,0,TEN,1,11,2,0,12.9166666667,19.4166666667,30.4166666667,0.636,220.916666667,7.33333333333,12.0333333333,1.41666666667,0.583333333333,93.2166666667,1.41666666667,9.0,11.75,0.166666666667,0.0,8.08333333333,33.9166666667,158.833333333,4.65,2.08333333333,9.5,11.0,7.91666666667,1.41666666667,1.83333333333,0.638916666667,32.75,0.0,3.66666666667,3.75,0.979166666667,0.0833333333333,20.6666666667,5.16666666667,208.5,39.9833333333,13.5833333333,3.58333333333,81.3333333333,22.5083333333,0.0,27.5,2.33333333333,12.9166666667,5.34166666667,0.0,8.5,10.0833333333,15.4166666667,59.5833333333,46.5833333333,13.0,3.5,22.0833333333,1.25,0.166666666667,1.16666666667,0.666666666667,0.0833333333333,6.58333333333,2.83333333333,5.66666666667,0.0,9.0,23.0833333333,9.5,11.75,5.16666666667,12.8333333333,0.406666666667,0.5,0.5,0.333333333333,6.25,1.83333333333,57.5833333333,6.91666666667,30.4166666667,379.75,158.833333333,4.65,2.08333333333,220.916666667,7.33333333333,12.0333333333,1.41666666667,81.3333333333,12.9166666667,57.5833333333,10.0833333333,1.08333333333,1.25,0.666666666667,0.583333333333,0.25,4,9,0,11.6666666667,23.0,37.6666666667,0.615166666667,228.5,6.10833333333,10.65,1.16666666667,0.75,81.325,1.91666666667,12.9166666667,12.1666666667,0.333333333333,0.333333333333,18.25,25.0833333333,96.3333333333,3.88333333333,0.583333333333,4.5,13.6666666667,7.25,1.75,2.16666666667,0.6945,33.4166666667,0.0,2.0,2.08333333333,0.875,0.0,13.8333333333,5.0,213.916666667,42.6083333333,12.8333333333,4.08333333333,101.833333333,24.4,0.0,39.3333333333,2.83333333333,31.75,12.3916666667,0.0833333333333,21.4166666667,18.1666666667,24.5833333333,59.5833333333,42.6666666667,16.9166666667,2.83333333333,16.25,0.666666666667,0.166666666667,0.833333333333,0.75,0.166666666667,4.5,3.66666666667,8.41666666667,0.0833333333333,15.1666666667,17.6666666667,4.5,12.1666666667,4.83333333333,14.0833333333,0.338333333333,0.583333333333,1.91666666667,0.239166666667,7.58333333333,1.0,62.9166666667,13.9166666667,20.4166666667,324.833333333,96.3333333333,3.88333333333,0.583333333333,228.5,6.10833333333,10.65,1.16666666667,101.833333333,31.75,62.9166666667,13.0,0.0,0.666666666667,0.75,0.75,0.666666666667
PIT_15_2005,PIT,0,MIN,1,8,5,0,18.1666666667,15.6666666667,26.3333333333,0.59675,182.916666667,6.90833333333,12.425,1.41666666667,1.0,83.3666666667,2.08333333333,12.5,9.5,0.166666666667,0.166666666667,13.5,32.5,122.25,3.65833333333,0.916666666667,6.91666666667,13.9166666667,6.75,1.41666666667,1.83333333333,0.708416666667,30.0833333333,0.166666666667,2.5,2.5,1.0,0.0,18.0,4.41666666667,180.5,40.5,18.3333333333,3.83333333333,80.5833333333,21.2166666667,0.0,33.6666666667,2.75,21.1666666667,6.65,0.0833333333333,15.25,12.3333333333,18.9166666667,60.6666666667,44.3333333333,16.3333333333,2.75,18.1666666667,0.916666666667,0.0,0.833333333333,0.75,0.0833333333333,4.83333333333,2.25,5.25,0.0,13.9166666667,18.75,6.91666666667,9.5,3.91666666667,12.0833333333,0.313333333333,0.25,0.833333333333,0.125,6.58333333333,2.33333333333,56.25,13.3333333333,21.75,305.166666667,122.25,3.65833333333,0.916666666667,182.916666667,6.90833333333,12.425,1.41666666667,80.5833333333,21.1666666667,56.25,12.0833333333,0.0833333333333,0.916666666667,0.75,1.0,0.583333333333,8,5,0,16.1666666667,19.4166666667,30.9166666667,0.6385,194.416666667,6.45833333333,11.0583333333,1.16666666667,0.916666666667,87.4333333333,3.83333333333,20.4166666667,10.6666666667,0.416666666667,0.25,17.0833333333,26.4166666667,99.0833333333,3.78333333333,0.666666666667,5.58333333333,15.8333333333,6.25,1.41666666667,2.08333333333,0.566666666667,31.0,0.166666666667,2.0,2.0,0.833333333333,0.0,12.6666666667,5.33333333333,232.25,43.775,14.25,4.5,103.0,24.8166666667,0.0833333333333,44.3333333333,2.58333333333,19.4166666667,6.875,0.0833333333333,14.1666666667,14.5833333333,21.8333333333,54.1666666667,42.1666666667,12.0,1.91666666667,11.9166666667,1.75,0.166666666667,0.833333333333,0.75,0.0,6.0,2.16666666667,5.08333333333,0.0,13.9166666667,18.25,5.58333333333,10.6666666667,4.0,12.8333333333,0.316666666667,0.333333333333,0.75,0.145833333333,7.75,2.0,62.75,14.5,19.4166666667,293.5,99.0833333333,3.78333333333,0.666666666667,194.416666667,6.45833333333,11.0583333333,1.16666666667,103.0,19.4166666667,62.75,10.1666666667,0.75,1.75,0.75,0.916666666667,0.833333333333
NYJ_15_2005,NYJ,0,MIA,0,3,10,0,22.0,15.6666666667,28.1666666667,0.558583333333,146.166666667,5.225,10.5583333333,0.5,1.08333333333,61.1666666667,3.0,20.0,8.25,0.5,0.25,19.25,24.9166666667,87.5833333333,3.375,0.75,5.25,17.75,5.5,1.41666666667,1.75,0.705583333333,26.3333333333,0.0,1.25,1.25,0.666666666667,0.0,12.5833333333,4.83333333333,212.416666667,44.05,15.9166666667,4.08333333333,91.0,20.6,0.0,30.5833333333,2.25,16.25,8.425,0.0,10.5,14.3333333333,20.5833333333,68.4166666667,47.9166666667,20.5,1.91666666667,12.4166666667,1.16666666667,0.0,1.16666666667,0.583333333333,0.0833333333333,3.66666666667,2.41666666667,4.75,0.0,19.0833333333,15.5,5.25,8.25,4.41666666667,12.6666666667,0.345,0.416666666667,1.0,0.264166666667,5.83333333333,2.0,47.75,20.0833333333,13.5,233.75,87.5833333333,3.375,0.75,146.166666667,5.225,10.5583333333,0.5,91.0,16.25,47.75,14.6666666667,-0.333333333333,1.16666666667,0.583333333333,1.08333333333,1.0,6,7,0,15.5833333333,18.0833333333,35.5,0.512916666667,208.0,5.94166666667,11.9916666667,1.25,1.08333333333,68.325,1.66666666667,10.1666666667,9.5,0.5,0.25,16.5,25.1666666667,106.583333333,4.325,0.583333333333,5.41666666667,15.4166666667,6.0,1.41666666667,1.75,0.65,26.4166666667,0.0,1.75,1.75,0.916666666667,0.0,13.4166666667,5.5,236.833333333,43.2666666667,15.9166666667,4.5,99.4166666667,22.1,0.0,29.5833333333,2.41666666667,20.75,7.53333333333,0.0,14.0,15.1666666667,20.9166666667,65.25,45.4166666667,19.8333333333,3.08333333333,26.0,0.75,0.0,1.25,1.0,0.0,4.83333333333,3.25,7.08333333333,0.166666666667,18.4166666667,16.25,5.41666666667,9.5,4.33333333333,13.5833333333,0.299166666667,0.5,1.08333333333,0.2775,8.33333333333,1.33333333333,65.5833333333,16.5,17.3333333333,314.583333333,106.583333333,4.325,0.583333333333,208.0,5.94166666667,11.9916666667,1.25,99.4166666667,20.75,65.5833333333,13.8333333333,-0.25,0.75,1.0,1.08333333333,0.916666666667
CAR_15_2005,CAR,0,NO,1,9,4,0,15.6666666667,17.25,28.4166666667,0.606583333333,206.333333333,7.43333333333,13.075,1.58333333333,1.0,88.1166666667,1.83333333333,15.0833333333,10.25,0.416666666667,0.25,19.5,29.75,89.75,3.03333333333,1.0,4.33333333333,13.4166666667,6.83333333333,1.41666666667,2.0,0.708333333333,35.5,0.0833333333333,2.58333333333,2.66666666667,0.888916666667,0.0833333333333,13.4166666667,4.83333333333,209.583333333,43.125,18.3333333333,3.25,67.9166666667,21.3166666667,0.0,28.5833333333,2.91666666667,33.0833333333,8.89166666667,0.0,19.9166666667,9.75,15.9166666667,53.3333333333,41.5,11.8333333333,2.75,17.75,1.41666666667,0.166666666667,1.08333333333,0.916666666667,0.0,6.33333333333,2.5,6.16666666667,0.0,18.5,16.9166666667,4.33333333333,10.25,5.41666666667,13.4166666667,0.4025,0.166666666667,0.5,0.125,5.41666666667,2.33333333333,43.25,12.1666666667,23.3333333333,296.083333333,89.75,3.03333333333,1.0,206.333333333,7.43333333333,13.075,1.58333333333,67.9166666667,33.0833333333,43.25,10.5833333333,0.833333333333,1.41666666667,0.916666666667,1.0,0.5,3,10,0,15.0833333333,18.9166666667,35.0,0.54525,209.083333333,5.98333333333,12.1666666667,1.08333333333,1.5,65.9083333333,2.83333333333,17.6666666667,11.25,0.166666666667,0.0833333333333,15.0833333333,26.6666666667,114.583333333,4.33333333333,0.5,6.25,18.9166666667,5.25,1.25,1.83333333333,0.67775,28.9166666667,0.166666666667,1.5,1.5,0.75,0.0,16.5833333333,4.83333333333,206.666666667,41.725,16.9166666667,4.91666666667,103.75,21.2833333333,0.0,29.6666666667,2.83333333333,18.0833333333,6.575,0.0,10.3333333333,19.25,25.9166666667,58.0,43.9166666667,14.0833333333,1.75,11.8333333333,0.5,0.0,0.5,0.5,0.0,3.91666666667,3.33333333333,7.91666666667,0.0,13.1666666667,19.9166666667,6.25,11.25,5.0,13.4166666667,0.3625,0.166666666667,0.75,0.166666666667,8.83333333333,2.41666666667,76.1666666667,19.1666666667,14.75,323.666666667,114.583333333,4.33333333333,0.5,209.083333333,5.98333333333,12.1666666667,1.08333333333,103.75,18.0833333333,76.1666666667,18.4166666667,-1.58333333333,0.5,0.5,1.5,1.08333333333
